field_id,spec_reference,rust_reference,diagnostic_or_audit_key,status,notes,run_id
StageRequirement.satisfies,3-8-core-runtime-capability.md§1.2,compiler/runtime/src/stage.rs#L26-L37,―,未実装,"仕様では `StageRequirement::satisfies(actual)` が契約 API として公開されるが、Rust 実装は `matches` のみで `const fn` ではないため Manifest/Diagnostics と共有できない。",20291221-stage-field-gap
StageId.order_table,3-8-core-runtime-capability.md§1.2,compiler/runtime/src/stage.rs#L4-L24,AuditEnvelope.metadata["effect.stage.*"],要修正,"仕様は `Experimental < Beta < Stable` の 3 階層だが Rust 版には `Alpha` が追加されており、`collect-iterator-audit-metrics` の Stage 整合ロジックと矛盾している。",20291221-stage-field-gap
CapabilityDescriptor.stage,3-8-core-runtime-capability.md§1.2,―,extensions["effect.stage.actual"],欠落,"Descriptor 型が存在せず Stage 情報を `CapabilityDescriptor` に保持できないため、診断が `actual_stage` を参照する際に Registry を再度呼び出す必要がある。",20291221-stage-field-gap
CapabilityDescriptor.effect_scope,3-8-core-runtime-capability.md§1.2,―,extensions["effect.required_capabilities"],欠落,"効果スコープの集合が Rust 実装に存在せず、`effects.contract.stage_mismatch` で必要な `required_capabilities` 配列を構築できない。",20291221-stage-field-gap
CapabilityDescriptor.provider,3-8-core-runtime-capability.md§1.2,―,AuditEnvelope.metadata["capability.provider"],欠落,"provider 情報（Core/Plugin/ExternalBridge）が未実装のため、監査ログに提供者を記録できない。",20291221-stage-field-gap
CapabilityDescriptor.manifest_path,3-8-core-runtime-capability.md§1.2,―,AuditEnvelope.metadata["capability.manifest_path"],欠落,"Manifest 上の宣言位置を指す `manifest_path` が Rust 実装に存在せず、`verify_conductor_contract` のトレースができない。",20291221-stage-field-gap
CapabilityDescriptor.last_verified_at,3-8-core-runtime-capability.md§1.2,―,AuditEnvelope.metadata["capability.last_verified_at"],欠落,"`verify_capability_stage` 成功時に `Timestamp` を記録する仕様が実装されておらず、監査上の鮮度指標を失っている。",20291221-stage-field-gap
CapabilityDescriptor.id,3-8-core-runtime-capability.md§1.2,―,extensions["capability.id"],欠落,"Registry が ID を文字列として保持しないため、`AuditEvent::CapabilityMismatch` の `capability.id` を自動入力できない。",20291221-stage-field-gap
StageAuditPayload.capability_descriptor,3-6-core-diagnostics-audit.md§2.4,compiler/frontend/src/diagnostic/effects.rs#StageAuditPayload,extensions["effect.stage.*"],不足,"StageAuditPayload は Stage 値のみ保持し Descriptor 情報を連携しないため、CLI/LSP が `provider` や `effect_scope` を提示できない。",20291221-stage-field-gap
ConductorCapabilityRequirement.source_span,3-8-core-runtime-capability.md§1.2,compiler/runtime/src/config/manifest.rs#L200-L400,AuditEnvelope.metadata["capability.span"],欠落,"Manifest の `run.target.capabilities` を解析しても `source_span` を保持しておらず、契約違反診断で該当箇所をハイライトできない。",20291221-stage-field-gap
verify_capability_stage.audit_bridge,3-6-core-diagnostics-audit.md§6.1.2,compiler/runtime/src/registry.rs#L11-L40,AuditEventKind::CapabilityMismatch,不足,"`verify_capability_stage` は Stage ミスマッチ検知時に監査イベントを発火せず、`collect-iterator-audit-metrics --section runtime` の `capability_mismatch` 要件を満たせない。",20291221-stage-field-gap
