"カテゴリ","ワークストリーム","項目","受入基準","参照元","typeck-debug","effects-metrics"
"制約ソルバ","型推論","Type inference (FRG-12) HM 基盤の写経","`docs/plans/rust-migration/p1-spec-compliance-gap.md#FRG-12` に列挙した TypeEnv/Scheme/Constraint/Driver の差分が dual-write リソースで検証され、`reports/dual-write/front-end/w3-type-inference` の constraints JSON と `TypecheckReport` の `used_impls`/`constraints` が OCaml と一致。","docs/spec/1-2-types-Inference.md#C / docs/plans/rust-migration/p1-spec-compliance-gap.md#FRG-12","reports/dual-write/front-end/w3-type-inference/<case>/constraints.{ocaml,rust}.json",""
"AST","Lexer/Parser","Span 構造の start/end を u32 で再現","`remlc --frontend {ocaml,rust} --emit-ast --format json` の diff がゼロ","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-3-ast-ノード対応チェックリスト","",""
"AST","Lexer/Parser","識別子の文字列正規化と Span 同期","Dual-write AST 比較で `name` と `span` が完全一致","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-3-ast-ノード対応チェックリスト","",""
"AST","AST/IR","ExprKind/PatternKind/DeclKind の列挙子整合（成果物: docs/plans/rust-migration/appendix/typed_ast_schema_draft.md）","dual-write AST JSON 差分ゼロ（reports/dual-write/front-end/w2-ast-alignment/）","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-3-ast-ノード対応チェックリスト","",""
"Typed AST","AST/IR","TypedExpr/TypedPattern スキーマ移植（成果物: docs/plans/rust-migration/appendix/typed_ast_schema_draft.md）","型 ID/制約リスト一致（dual-write Typed AST JSON）；✅ 2027-01-17: reports/dual-write/front-end/w3-type-inference/2027-01-15-w3-typeck/summary.md で 4/5 ケース一致（`ffi_dispatch_async` は TODO 移送済み）","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-4-typed-ast--型情報の整合 / docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#W3-TYPECK-ffi-dispatch-async","",""
"制約ソルバ","型推論","Scheme/Constraint/Impl Registry の一致確認","`test_type_inference.ml` 相当ケースで dual-write JSON 差分ゼロ；✅ 2027-01-17: reports/dual-write/front-end/w3-type-inference/2027-01-15-w3-typeck/typeck.diff.json で Impl Registry/Constraint 差分 0 を確認","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-4-typed-ast--型情報の整合","",""
"制約ソルバ","型推論","パターン推論ケース（compiler/ocaml/tests/test_type_inference.ml）","`reports/dual-write/front-end/w3-type-inference/cases/patterns/typed-ast.{ocaml,rust}.json` の差分=0、`constraints.*.json` で `effects.unify.*` 誤差 0.5pt 以内","docs/plans/rust-migration/appendix/type-inference-ocaml-inventory.md#3-テスト資産とシナリオ分類","",""
"制約ソルバ","型推論","CallConv / FFI CLI スナップショット（test_cli_callconv_snapshot.ml, test_ffi_contract.ml）","`scripts/poc_dualwrite_compare.sh --mode typeck` で CLI 2 系統の JSON/Audit が一致し、`impl-registry.{ocaml,rust}.json` の行順が一致；✅ 2027-01-17: `callconv_windows_messagebox` ケースで一致、`ffi_dispatch_async` は deferred","docs/plans/rust-migration/appendix/type-inference-ocaml-inventory.md#3-テスト資産とシナリオ分類 / docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#W3-TYPECK-ffi-dispatch-async","",""
"制約ソルバ","型推論","診断 JSON / CLI Stats（test_cli_diagnostics.ml + scripts/validate-diagnostic-json.sh）","`collect-iterator-audit-metrics.py --section effects --require-success` と `scripts/validate-diagnostic-json.sh` を W3 入力で実行し、`diagnostics.effect_stage_consistency`=1.0；✅ 2027-01-17: reports/dual-write/front-end/w3-type-inference/2027-01-15-w3-typeck/diagnostic-validate.log pass","docs/plans/rust-migration/appendix/type-inference-ocaml-inventory.md#3-テスト資産とシナリオ分類 / docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-11-型推論起因診断の比較手順-w3-拡張","",""
"診断","CLI","CLI 診断 JSON/監査 metrics（TPM-DIAG-01）","`scripts/poc_dualwrite_compare.sh --mode diag --cases docs/plans/bootstrap-roadmap/p1-test-migration-diagnostic-cases.txt` で `diagnostics`/`audit`/`diag-metrics` を生成し、`collect-iterator-audit-metrics.py --section diag --metrics-case cli_diagnostics` で `diagnostics.expected_summary_presence`/`diagnostics.count`/`effects.contract.stage_mismatch`/`effects.contract.capability_missing`/`effects.contract.ownership` を ±0.5 ルールで監査。`scripts/validate-diagnostic-json.sh --frontend rust --schema diagnostics-v2.schema.json` が通ること。","docs/plans/bootstrap-roadmap/p1-test-migration-plan.md#TPM-DIAG-01;docs/plans/bootstrap-roadmap/2-5-spec-drift-remediation.md#diagnostic-audit","", "diag.expected_summary_presence;diag.count;diag.effects.contract.stage_mismatch;diag.effects.contract.capability_missing;diag.effects.contract.ownership"
